,fiorentini_time,CPP_time,haskell_time,haskell_optim_time,fiorentini_result,CPP_result,haskell_result,haskell_optim_result,file_path
22,0.007661104202270508,0.003988027572631836,0.009894371032714844,0.008179426193237305,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/27c.hf  /home/junwei/S4Prover/benchmarks/S4fml/27c.cf
23,0.0032501220703125,0.003146648406982422,0.008377790451049805,0.008412599563598633,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/27d.hf  /home/junwei/S4Prover/benchmarks/S4fml/27d.cf
24,0.0031147003173828125,0.0032258033752441406,0.008945941925048828,0.00792241096496582,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/28.hf  /home/junwei/S4Prover/benchmarks/S4fml/28.cf
25,0.03548598289489746,0.0035452842712402344,0.00803232192993164,0.0100555419921875,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/29.hf  /home/junwei/S4Prover/benchmarks/S4fml/29.cf
26,0.003651857376098633,0.006972312927246094,0.009582281112670898,0.008781909942626953,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/3.hf  /home/junwei/S4Prover/benchmarks/S4fml/3.cf
27,0.0040493011474609375,0.004883289337158203,0.056168317794799805,0.008419275283813477,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/3a.hf  /home/junwei/S4Prover/benchmarks/S4fml/3a.cf
28,0.004003763198852539,0.0040416717529296875,0.011596918106079102,0.008226871490478516,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/3b.hf  /home/junwei/S4Prover/benchmarks/S4fml/3b.cf
29,0.0027534961700439453,0.003820657730102539,0.011916160583496094,0.007600545883178711,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/4.hf  /home/junwei/S4Prover/benchmarks/S4fml/4.cf
30,0.004120588302612305,0.006229877471923828,0.008035421371459961,0.007795810699462891,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/5.hf  /home/junwei/S4Prover/benchmarks/S4fml/5.cf
31,0.0026352405548095703,0.004183053970336914,0.00920724868774414,0.009081602096557617,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/6.hf  /home/junwei/S4Prover/benchmarks/S4fml/6.cf
32,0.002495288848876953,0.006267547607421875,0.0131072998046875,0.010469675064086914,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/7.hf  /home/junwei/S4Prover/benchmarks/S4fml/7.cf
33,0.0036122798919677734,0.0039272308349609375,0.008459806442260742,0.009422779083251953,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/8.hf  /home/junwei/S4Prover/benchmarks/S4fml/8.cf
34,0.003065824508666992,0.0068206787109375,0.010432004928588867,0.009729623794555664,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/9.hf  /home/junwei/S4Prover/benchmarks/S4fml/9.cf
35,0.003916263580322266,0.0031452178955078125,0.009298563003540039,0.008160591125488281,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/K0.hf  /home/junwei/S4Prover/benchmarks/S4fml/K0.cf
36,0.00391077995300293,0.004475116729736328,0.00938725471496582,0.009698867797851562,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/K1.hf  /home/junwei/S4Prover/benchmarks/S4fml/K1.cf
37,0.003065824508666992,0.0038962364196777344,0.009801387786865234,0.00949406623840332,satisfible,Satisfiable,Satisfiable,Satisfiable,/home/junwei/S4Prover/benchmarks/S4fml/K2.hf  /home/junwei/S4Prover/benchmarks/S4fml/K2.cf
